config,mode,seed,completed,steps_executed,diverged,disposed,remaining_green,remaining_yellow,remaining_red,remaining_total,messages_total
C1_balanced_small,step2_communication,117,True,93,False,5,0,0,0,0,71
C1_balanced_small,step3_orchestrator_nearest,117,True,88,False,5,0,0,0,0,75
C1_balanced_small,step3_orchestrator_uncertainty,117,True,85,False,5,0,0,0,0,76
C1_balanced_small,step1_no_communication,118,True,147,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,118,True,106,False,5,0,0,0,0,88
C1_balanced_small,step3_orchestrator_nearest,118,True,91,False,5,0,0,0,0,91
C1_balanced_small,step3_orchestrator_uncertainty,118,True,78,False,5,0,0,0,0,72
C1_balanced_small,step1_no_communication,119,True,208,False,5,0,0,0,0,0
C1_balanced_small,step2_communication,119,False,500,True,3,5,0,0,5,325
C1_balanced_small,step3_orchestrator_nearest,119,True,98,False,5,0,0,0,0,95
C1_balanced_small,step3_orchestrator_uncertainty,119,True,86,False,5,0,0,0,0,81
C2_green_heavy,step1_no_communication,1100,True,172,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1100,True,181,False,8,0,0,0,0,164
C2_green_heavy,step3_orchestrator_nearest,1100,True,116,False,7,0,0,0,0,127
C2_green_heavy,step3_orchestrator_uncertainty,1100,True,113,False,7,0,0,0,0,119
C2_green_heavy,step1_no_communication,1101,True,251,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1101,True,87,False,7,0,0,0,0,108
C2_green_heavy,step3_orchestrator_nearest,1101,True,107,False,7,0,0,0,0,138
C2_green_heavy,step3_orchestrator_uncertainty,1101,True,99,False,7,0,0,0,0,126
C2_green_heavy,step1_no_communication,1102,True,195,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1102,True,108,False,7,0,0,0,0,131
C2_green_heavy,step3_orchestrator_nearest,1102,True,97,False,7,0,0,0,0,118
C2_green_heavy,step3_orchestrator_uncertainty,1102,True,105,False,7,0,0,0,0,127
C2_green_heavy,step1_no_communication,1103,True,250,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1103,True,95,False,7,0,0,0,0,89
C2_green_heavy,step3_orchestrator_nearest,1103,True,94,False,7,0,0,0,0,113
C2_green_heavy,step3_orchestrator_uncertainty,1103,True,104,False,7,0,0,0,0,127
C2_green_heavy,step1_no_communication,1104,True,289,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1104,True,97,False,7,0,0,0,0,115
C2_green_heavy,step3_orchestrator_nearest,1104,True,99,False,7,0,0,0,0,112
C2_green_heavy,step3_orchestrator_uncertainty,1104,True,95,False,7,0,0,0,0,118
C2_green_heavy,step1_no_communication,1105,True,367,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1105,True,109,False,7,0,0,0,0,112
C2_green_heavy,step3_orchestrator_nearest,1105,True,103,False,7,0,0,0,0,108
C2_green_heavy,step3_orchestrator_uncertainty,1105,True,113,False,7,0,0,0,0,129
C2_green_heavy,step1_no_communication,1106,True,294,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1106,True,134,False,7,0,0,0,0,133
C2_green_heavy,step3_orchestrator_nearest,1106,True,108,False,7,0,0,0,0,116
C2_green_heavy,step3_orchestrator_uncertainty,1106,True,98,False,7,0,0,0,0,118
C2_green_heavy,step1_no_communication,1107,True,166,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1107,True,100,False,7,0,0,0,0,114
C2_green_heavy,step3_orchestrator_nearest,1107,True,98,False,7,0,0,0,0,133
C2_green_heavy,step3_orchestrator_uncertainty,1107,True,98,False,7,0,0,0,0,115
C2_green_heavy,step1_no_communication,1108,True,204,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1108,True,108,False,7,0,0,0,0,110
C2_green_heavy,step3_orchestrator_nearest,1108,True,108,False,7,0,0,0,0,135
C2_green_heavy,step3_orchestrator_uncertainty,1108,True,107,False,7,0,0,0,0,124
C2_green_heavy,step1_no_communication,1109,True,296,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1109,True,102,False,7,0,0,0,0,116
C2_green_heavy,step3_orchestrator_nearest,1109,True,102,False,7,0,0,0,0,119
C2_green_heavy,step3_orchestrator_uncertainty,1109,True,206,False,7,0,0,0,0,197
C2_green_heavy,step1_no_communication,1110,True,166,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1110,True,92,False,7,0,0,0,0,116
C2_green_heavy,step3_orchestrator_nearest,1110,True,104,False,7,0,0,0,0,126
C2_green_heavy,step3_orchestrator_uncertainty,1110,True,96,False,7,0,0,0,0,119
C2_green_heavy,step1_no_communication,1111,True,184,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1111,True,122,False,7,0,0,0,0,120
C2_green_heavy,step3_orchestrator_nearest,1111,True,92,False,7,0,0,0,0,125
C2_green_heavy,step3_orchestrator_uncertainty,1111,True,98,False,7,0,0,0,0,120
C2_green_heavy,step1_no_communication,1112,True,177,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1112,True,101,False,7,0,0,0,0,120
C2_green_heavy,step3_orchestrator_nearest,1112,True,107,False,7,0,0,0,0,121
C2_green_heavy,step3_orchestrator_uncertainty,1112,True,105,False,7,0,0,0,0,117
C2_green_heavy,step1_no_communication,1113,True,199,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1113,True,147,False,7,0,0,0,0,153
C2_green_heavy,step3_orchestrator_nearest,1113,True,161,False,7,0,0,0,0,161
C2_green_heavy,step3_orchestrator_uncertainty,1113,True,143,False,7,0,0,0,0,153
C2_green_heavy,step1_no_communication,1114,True,383,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1114,True,103,False,7,0,0,0,0,115
C2_green_heavy,step3_orchestrator_nearest,1114,True,101,False,7,0,0,0,0,120
C2_green_heavy,step3_orchestrator_uncertainty,1114,True,99,False,7,0,0,0,0,108
C2_green_heavy,step1_no_communication,1115,True,199,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1115,True,133,False,8,0,0,0,0,135
C2_green_heavy,step3_orchestrator_nearest,1115,True,99,False,7,0,0,0,0,114
C2_green_heavy,step3_orchestrator_uncertainty,1115,True,111,False,7,0,0,0,0,129
C2_green_heavy,step1_no_communication,1116,True,263,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1116,True,107,False,7,0,0,0,0,113
C2_green_heavy,step3_orchestrator_nearest,1116,True,117,False,7,0,0,0,0,123
C2_green_heavy,step3_orchestrator_uncertainty,1116,True,104,False,7,0,0,0,0,113
C2_green_heavy,step1_no_communication,1117,True,183,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1117,True,95,False,7,0,0,0,0,101
C2_green_heavy,step3_orchestrator_nearest,1117,True,97,False,7,0,0,0,0,115
C2_green_heavy,step3_orchestrator_uncertainty,1117,True,99,False,7,0,0,0,0,124
C2_green_heavy,step1_no_communication,1118,True,226,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1118,True,110,False,7,0,0,0,0,115
C2_green_heavy,step3_orchestrator_nearest,1118,True,104,False,7,0,0,0,0,123
C2_green_heavy,step3_orchestrator_uncertainty,1118,True,102,False,7,0,0,0,0,116
C2_green_heavy,step1_no_communication,1119,True,349,False,7,0,0,0,0,0
C2_green_heavy,step2_communication,1119,True,106,False,7,0,0,0,0,113
C2_green_heavy,step3_orchestrator_nearest,1119,True,107,False,7,0,0,0,0,113
C2_green_heavy,step3_orchestrator_uncertainty,1119,True,117,False,7,0,0,0,0,121
C3_pipeline_strong,step1_no_communication,2100,True,85,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2100,True,125,False,8,0,0,0,0,143
C3_pipeline_strong,step3_orchestrator_nearest,2100,True,80,False,7,0,0,0,0,107
C3_pipeline_strong,step3_orchestrator_uncertainty,2100,True,77,False,7,0,0,0,0,103
C3_pipeline_strong,step1_no_communication,2101,True,100,False,7,0,0,0,0,0
